program_id,enabled,program_name,application_rate,default_cost,n_appl,theta,tau,b0,b1,b0_se,b1_se
1,TRUE,Adastrio,8 fl oz,20,1,0.5894311,0.7559651,0.0279376,0.3040311,0.0112168,0.0805391
2,TRUE,Aproach Prima,6.8 fl oz,15.4,1,0.8004796,0.9906809,0.0167192,0.2249097,0.0102067,0.1346485
3,TRUE,Delaro,8 fl oz,18.91,1,0.6148361,0.7501341,0.0287522,-0.041908,0.0115621,0.102752
4,TRUE,Delaro Complete,8 fl oz,23.44,1,0.6879869,0.8963614,0.0256477,0.1463256,0.0079214,0.0623621
5,TRUE,Headline AMP,10 fl oz,14.52,1,0.6461199,0.7723881,0.0271382,0.1286307,0.0076534,0.0609929
7,TRUE,Lucento,5 fl oz,18.55,1,0.5978246,0.7811349,0.0280558,0.0146217,0.0074344,0.0518989
8,TRUE,Miravis Neo,13.7 fl oz,23.71,1,0.5040737,0.6383065,0.0440501,0.0199007,0.0098549,0.0743154
10,TRUE,Proline,5.7 fl oz,26.39,1,0.6973433,0.8081953,0.0243845,0.3095979,0.0160552,0.1855861
11,TRUE,Quadris,6 fl oz,7.2,1,0.7451459,0.9274213,0.0103181,0.4035987,0.0095027,0.1210443
12,TRUE,Quilt Xcel,10.5 fl oz,10.5,1,0.4758872,0.4924513,0.0225933,-0.0200115,0.0130356,0.0990071
13,TRUE,Revytek,8 fl oz,23.4,1,0.4726712,0.5649366,0.0512919,-0.0364043,0.014328,0.089456
14,TRUE,Tilt,4 fl oz,3.23,1,0.9034969,1.1285751,0.0161669,0.1902187,0.0110022,0.2817349
15,TRUE,Topguard EQ,5 fl oz,11.99,1,0.5674581,0.7458522,0.0322436,0.077992,0.0158682,0.1542052
16,TRUE,Trivapro,13.7 fl oz,20.23,1,0.5736679,0.7161389,0.0367949,0.1018374,0.0095455,0.0623533
17,TRUE,Veltyma,7 fl oz,22.7,1,0.4220373,0.5596694,0.0260414,0.1985927,0.006176,0.0384356
18,TRUE,Xyway LFR,15.2 fl oz,22.98,0,0.7839449,0.9715106,0.0086798,0.0416705,0.0101212,0.1946066
19,TRUE,Xyway LFR + Topguard EQ,15.2 + 5 fl oz,34.97,1,0.5146705,0.6510423,0.0392423,0.0708943,0.0125351,0.1233696
