program_id,enabled,program_name,application_rate,default_cost,n_appl,b_0,b_1,b_0_se,b_1_se,b_0_lower,b_0_upper,b_1_lower,b_1_upper,theta,tau
1,TRUE,Delaro,8 fl oz,19.84,1,0.029320849,-0.044519171,0.011758789,0.103728813,0.006273623,0.052368075,-0.247827645,0.158789303,0.618142412,0.720752364
2,TRUE,Delaro Complete,8 fl oz,23.44,1,0.021618529,0.087963355,0.009314012,0.070113155,0.003363065,0.039873993,-0.049458428,0.225385139,0.747751866,0.899099936
3,TRUE,Headline AMP,10 fl oz,14.52,1,0.022053607,0.090233096,0.00904438,0.067182853,0.004326622,0.039780593,-0.041445295,0.221911488,0.657076399,0.770705652
4,TRUE,Lucento,5 fl oz,18.55,1,0.027991936,0.011630216,0.007639045,0.052798204,0.013019406,0.042964465,-0.091854264,0.115114696,0.598891063,0.748363783
5,TRUE,Miravis Neo,13.7 fl oz,23.71,1,0.044197698,-0.028001102,0.013865707,0.099060379,0.017020913,0.071374483,-0.222159444,0.16615724,0.454895145,0.535659331
6,TRUE,Quilt Xcel,10.5 fl oz,14.27,1,0.022593274,-0.020011509,0.01303563,0.099007143,-0.002956562,0.04814311,-0.21406551,0.174042493,0.47614831,0.492616273
7,TRUE,Revytek,8 fl oz,23.4,1,0.042482382,-0.045531086,0.017010852,0.097452563,0.009141113,0.075823651,-0.236538109,0.145475937,0.446183423,0.538544255
8,TRUE,Topguard EQ,5 fl oz,12,1,0.033687673,0.070386532,0.016824961,0.159266233,0.000710749,0.066664597,-0.241775285,0.38254835,0.551234901,0.671602155
9,TRUE,Trivapro,13.7 fl oz,20.23,1,0.035761359,0.079231436,0.00974683,0.059784008,0.016657573,0.054865146,-0.03794522,0.196408093,0.563861273,0.677657075
10,TRUE,Veltyma,7 fl oz,22.7,1,0.024534419,0.16916212,0.007363921,0.043963558,0.010101133,0.038967704,0.082993546,0.255330695,0.39971059,0.4997174
11,TRUE,Xyway LFR,15.2 fl oz,22.98,1,0.009571933,0.032710106,0.010398527,0.197572314,-0.010809179,0.029953045,-0.354531628,0.419951841,0.7857561,0.906126635
12,TRUE,Xyway LFR fb Topguard EQ,15.2 fl oz fb 5 fl oz,34.98,1,0.040965809,0.060886053,0.012884443,0.125171362,0.0157123,0.066219317,-0.184449816,0.306221921,0.503595923,0.583536171
